Blok;Date;Kirim;Aplikasi;Restan
R27;16/04/2024;;102,48;
R27;17/04/2024;;108,64;
R27;18/04/2024;;102,48;
R27;19/04/2024;;103,32;
R27;20/04/2024;;110,88;
R27;21/04/2024;;57,12;
R27;22/04/2024;118,8;183,68;
R27;23/04/2024;118,44;;
R27;24/04/2024;118,4;;
R27;25/04/2024;140,6;;
R27;26/04/2024;124,49;;
R27;27/04/2024;78,69;;
R27;28/04/2024;38,7;;
Q25;01/04/2024;112,55;67,76;
Q25;02/04/2024;111,6;;
Q25;04/04/2024;70,56;;
Q25;05/04/2024;75,6;;
R26;23/04/2024;;54,88;
R26;24/04/2024;;196;
R26;25/04/2024;;179,2;
R26;26/04/2024;;163,8;
R26;27/04/2024;;157,36;
R26;28/04/2024;;64,96;
R26;29/04/2024;;123,48;
Q23;15/04/2024;153,5;;
Q23;17/04/2024;59,2;;
H02;04/04/2024;;55,16;
H02;17/04/2024;67,26;;
H01;01/04/2024;;43,4;
H01;02/04/2024;;43,96;
H01;03/04/2024;;48,72;
H01;04/04/2024;31,36;;
H01;05/04/2024;91,8;48,44;
H01;06/04/2024;31,59;50,68;
H01;08/04/2024;;46,48;
H01;09/04/2024;;43,68;
H01;12/04/2024;1,3;;
H01;13/04/2024;15,6;42,56;
H01;15/04/2024;12,28;;
H01;16/04/2024;65,52;;
H01;17/04/2024;70,8;8,96;
H01;18/04/2024;;33,6;
H01;19/04/2024;;38,08;
H01;20/04/2024;;18,2;
H01;22/04/2024;;14,56;
H01;23/04/2024;;17,64;
H01;24/04/2024;;19,88;
H01;25/04/2024;;23,24;
H01;26/04/2024;;20,16;
H01;27/04/2024;;23,52;
H01;29/04/2024;;19,6;
H01;30/04/2024;;23,52;
Q26;02/04/2024;;61,6;
Q26;03/04/2024;161,7;67,2;
Q26;04/04/2024;35,28;58,8;
Q26;05/04/2024;;61,6;
Q26;06/04/2024;52,65;64,4;
Q26;07/04/2024;53,82;33,8;
Q26;08/04/2024;134,46;50,4;
Q26;09/04/2024;131,1;36,4;
Q26;12/04/2024;35,1;103,04;
Q26;13/04/2024;5,2;66,08;
Q26;14/04/2024;3,9;;
Q26;15/04/2024;;123,2;
Q26;16/04/2024;99,84;;
Q26;17/04/2024;17,7;;
Q26;18/04/2024;56;;
Q26;19/04/2024;113,9;;
Q26;20/04/2024;129,36;;
Q26;21/04/2024;23,76;;
Q26;29/04/2024;134,4;62,72;
Q26;30/04/2024;112,8;164,08;
R21;20/04/2024;40,5;;
R21;25/04/2024;;146,72;
R21;26/04/2024;;232,12;
R21;27/04/2024;;92,12;
R21;30/04/2024;131,25;;
R21;31/04/2024;24,24;;
S23;13/05/2024;42,09;;
S23;21/05/2024;55,44;;
S23;22/05/2024;62;;
S23;26/05/2024;55,35;;
Q25;05/05/2024;64,4;;
R26;04/05/2024;114,4;;
R26;05/05/2024;36,8;;
R26;06/05/2024;105,4;;
H02;02/05/2024;11,48;0,33;
H02;25/05/2024;21,56;0,61;
H02;27/05/2024;15,12;0,43;
H02;28/05/2024;7,56;0,21;
H02;29/05/2024;17,6;0,49;
H02;30/05/2024;29,68;0,84;
H02;31/05/2024;14,28;0,4;
Q26;01/05/2024;51;;
Q26;02/05/2024;94,3;;
Q26;03/05/2024;128;;
R24;07/05/2024;143,4;;
R24;08/05/2024;151,8;141,96;
R24;09/05/2024;76,8;99,96;
R24;10/05/2024;;119,84;
R24;11/05/2024;;122,92;
R24;12/05/2024;53,07;111,72;
R24;13/05/2024;40,26;108,92;
R24;14/05/2024;150;114,24;
R24;15/05/2024;;130,6;
R24;16/05/2024;57,78;119,392;
R24;23/05/2024;44,52;;
R24;24/05/2024;81,09;;
R24;25/05/2024;88,15;;
R24;27/05/2024;120;;
R24;28/05/2024;152,15;24,08;
R25;02/05/2024;125,44;;
R25;03/05/2024;120,68;;
R25;04/05/2024;119;;
R25;06/05/2024;147,56;;
R25;07/05/2024;138,04;;
R25;28/05/2024;8,68;;
R22;10/05/2024;80,16;;
R22;11/05/2024;142,56;;
R22;27/05/2024;41,72;1,01;
R22;28/05/2024;77,84;1,89;
R22;29/05/2024;97,72;2,57;
R22;30/05/2024;110,88;2,7;
R22;31/05/2024;120,12;2,92;
R23;15/05/2024;112,18;;
R23;16/05/2024;77,04;;
R23;17/05/2024;121,2;3,27;
R23;18/05/2024;103,48;2,86;
R23;19/05/2024;70,09;3,59;
R23;20/05/2024;27,54;3,11;
R23;21/05/2024;68,04;3,28;
R23;22/05/2024;79,36;3,31;
R23;23/05/2024;;6,89;
R23;24/05/2024;;4,09;
R23;28/05/2024;;0,56;
R23;31/05/2024;84,84;;
S22;29/05/2024;128,7;;
S22;31/05/2024;20,2;;
